ID,Nombre,Descripción,Precio,Stock,Categoría,Marca
2,RADIO ANDROID NISSAN KICKS 2015-2021 2GB+16GB 4 NÚCLEOS 10.1″,"Especificaciones:
-2g de ram+16g de almacenamiento.
-Procesador de 4 núcleos
-Resolución 1024×600 (Excelente imagen, nítida, FULL brillo!!!).

-7 temas intercambiables para mejorar la apariencia de tu pantalla. Puedes cambiar el fondo de pantalla si así lo deseas y poner el que se ajuste más a tu estilo.
-Conexión Wifi.
-Incluye Bisel para radio de 10.1″, encaje perfecto, sin huecos ni perforaciones.
-Incluye Arnés de cables para conexionado plug & play sin corte de cables.
-Incluye Canbus para configuración de comandos al volante (si aplica).
-Incluye Cable adaptador para antena.
-Incluye cable adaptador para GPS.
-Incluye Cable adaptador para USB original.
-Incluye Cable extra para USB.
-Incluye Cable para conexionado de cámara de reversa .
-Incluye Cables AUX para conexionado de pantallas , bazooka u otro
-Apps: Google Maps, Chrome, Waze, Spotify, Youtube, entre muchas más. Puedes instalar las aplicaciones que desees desde Play Store o .apk.
-Bluetooth y micrófono incorporado para manos libres.
-Mirror Link, espejo teléfono-radio android.
-Radio FM antena.
-Pantalla 10.1″ pulgadas touch de vidrio templado.
-Puedes instalarle cámara de retroceso  y/o dashcam (cámara frontal)

Consulta en nuestro chat de WhatsApp por instalación en local y a domicilio y también por el valor de cámara de retroceso instalada.",210000.00,1,RADIO ANDROID,NISSAN
3,RADIO ANDROID TOYOTA HILUX 2016++ 2GB+32GB 8 NÚCLEOS 10.1″,"Especificaciones:
-2g de ram+32g de almacenamiento.
-Procesador de 8 núcleos (4+4 2.0GHz) mucho más potente, mucho más rápido que el común de las radios del mercado.
-Sistema Operativo Android 10.
-Split Screen. Divide tu pantalla en 2.
-Admite cámara 360.
-Resolución 1024×600 (Excelente imagen, nítida, FULL brillo!!!).
-Incorpora controlador HiFi (alta fidelidad) mejorando notablemente el sonido. Amplificador ST7850 MOS bile duct 50Wx4
-Conexión Wifi.
-Incluye Bisel para radio de 10.1″, encaje perfecto, sin huecos ni perforaciones.
-Incluye Arnés de cables para conexionado plug & play sin corte de cables.
-Incluye Canbus para configuración de comandos al volante (si es que aplica)
-Incluye Cable adaptador para antena.
-Incluye cable adaptador para GPS.
-Incluye Cable adaptador para USB original.
-Incluye Cable extra para USB.
-Incluye Cable para conexionado de cámara de reversa .
-Incluye Cables AUX para conexionado de pantallas , bazooka u otro
-Apps: Google Maps, Chrome, Waze, Spotify, Youtube, Netflix, entre muchas más. Puedes instalar las aplicaciones que desees desde Play Store.
-Bluetooth 5.0 y micrófono incorporado para manos libres.
-Radio FM antena.
-Puedes cambiar el fondo de pantalla si así lo deseas y poner el que se ajuste más a tu estilo. Ordena los íconos como tu desees.
-Pantalla 10.1″ pulgadas touch de vidrio templado.
-Puedes instalarle cámara de retroceso  y/o dashcam (cámara frontal)",290000.00,6,RADIO ANDROID,TOYOTA
4,RADIO ANDROID NISSAN KICKS 2015-2021 2GB+32GB 8 NÚCLEOS 10.1″,"Especificaciones:
-2g de ram+32g de almacenamiento.
-Procesador de 8 núcleos (4+4 2.0GHz) mucho más potente, mucho más rápido que el común de las radios del mercado.
-Sistema Operativo Android 10.
-Split Screen. Divide tu pantalla en 2.
-Admite cámara 360.
-Resolución 1024×600 (Excelente imagen, nítida, FULL brillo!!!).
-Incorpora controlador HiFi (alta fidelidad) mejorando notablemente el sonido. Amplificador ST7850 MOS bile duct 50Wx4
-Conexión Wifi.
-Incluye Bisel para radio de 10.1″, encaje perfecto, sin huecos ni perforaciones.
-Incluye Arnés de cables para conexionado plug & play sin corte de cables.
-Incluye Canbus para configuración de comandos al volante.
-Incluye Cable adaptador para antena.
-Incluye cable adaptador para GPS.
-Incluye Cable adaptador para USB original.
-Incluye Cable extra para USB.
-Incluye Cable para conexionado de cámara de reversa .
-Incluye Cables AUX para conexionado de pantallas , bazooka u otro
-Apps: Google Maps, Chrome, Waze, Spotify, Youtube, Netflix, entre muchas más. Puedes instalar las aplicaciones que desees desde Play Store.
-Bluetooth 5.0 y micrófono incorporado para manos libres.
-Mirror Link, espejo teléfono-radio android.
-Radio FM antena.
-Puedes cambiar el fondo de pantalla si así lo deseas y poner el que se ajuste más a tu estilo. Ordena los íconos como tu desees.
-Pantalla 10.1″ pulgadas touch de vidrio templado.
-Puedes instalarle cámara de retroceso  y/o dashcam (cámara frontal)",240000.00,0,RADIO ANDROID,NISSAN
5,RADIO ANDROID NISSAN NP300 NAVARA 2015-2021 2GB+32GB 8 NÚCLEOS 10.1″,"-2g de ram+32g de almacenamiento.
-Procesador de 8 núcleos (4+4 2.0GHz) mucho más potente, mucho más rápido que el común de las radios del mercado.
-Sistema Operativo Android 10.
-Split Screen. Divide tu pantalla en 2.
-Admite cámara 360.
-Resolución 1024×600 (Excelente imagen, nítida, FULL brillo!!!).
-Incorpora controlador HiFi (alta fidelidad) mejorando notablemente el sonido. Amplificador ST7850 MOS bile duct 50Wx4
-Conexión Wifi.
-Incluye Bisel para radio de 10.1″, encaje perfecto, sin huecos ni perforaciones.
-Incluye Arnés de cables para conexionado plug & play sin corte de cables.
-Incluye Canbus para configuración de comandos al volante.
-Incluye Cable adaptador para antena.
-Incluye cable adaptador para GPS.
-Incluye Cable adaptador para USB original.
-Incluye Cable extra para USB.
-Incluye Cable para conexionado de cámara de reversa .
-Incluye Cables AUX para conexionado de pantallas , bazooka u otro
-Apps: Google Maps, Chrome, Waze, Spotify, Youtube, Netflix, entre muchas más. Puedes instalar las aplicaciones que desees desde Play Store.
-Bluetooth 5.0 y micrófono incorporado para manos libres.
-Mirror Link, espejo teléfono-radio android.
-Radio FM antena.
-Puedes cambiar el fondo de pantalla si así lo deseas y poner el que se ajuste más a tu estilo. Ordena los íconos como tu desees.
-Pantalla 10.1″ pulgadas touch de vidrio templado.
-Puedes instalarle cámara de retroceso  y/o dashcam (cámara frontal)",260000.00,2,RADIO ANDROID,NISSAN
6,RADIO ANDROID NISSAN NP300 NAVARA 2015-2021 2GB+32GB 8 NÚCLEOS 9″,"Especificaciones:
-2g de ram+32g de almacenamiento.
-Procesador de 8 núcleos (4+4 2.0GHz) mucho más potente, mucho más rápido que el común de las radios del mercado.
-Sistema Operativo Android 10.
-Split Screen. Divide tu pantalla en 2.
-Admite cámara 360.
-Resolución 1024×600 (Excelente imagen, nítida, FULL brillo!!!).
-Incorpora controlador HiFi (alta fidelidad) mejorando notablemente el sonido. Amplificador ST7850 MOS bile duct 50Wx4
-Conexión Wifi.
-Incluye Bisel para radio de 9″, encaje perfecto, sin huecos ni perforaciones.
-Incluye Arnés de cables para conexionado plug & play sin corte de cables.
-Incluye Canbus para configuración de comandos al volante.
-Incluye Cable adaptador para antena.
-Incluye cable adaptador para GPS.
-Incluye Cable adaptador para USB original.
-Incluye Cable extra para USB.
-Incluye Cable para conexionado de cámara de reversa .
-Incluye Cables AUX para conexionado de pantallas , bazooka u otro
-Apps: Google Maps, Chrome, Waze, Spotify, Youtube, Netflix, entre muchas más. Puedes instalar las aplicaciones que desees desde Play Store.
-Bluetooth 5.0 y micrófono incorporado para manos libres.
-Mirror Link, espejo teléfono-radio android.
-Radio FM antena.
-Puedes cambiar el fondo de pantalla si así lo deseas y poner el que se ajuste más a tu estilo. Ordena los íconos como tu desees.
-Pantalla 9″ pulgadas touch de vidrio templado.
-Puedes instalarle cámara de retroceso  y/o dashcam (cámara frontal)",260000.00,7,RADIO ANDROID,NISSAN
7,Radio Android Nissan Qashqai 2013-2020 2GB+32GB 8 núcleos 10.1″,"Especificaciones:
-2g de ram+32g de almacenamiento.
-Procesador de 8 núcleos (4+4 2.0GHz) mucho más potente, mucho más rápido que el común de las radios del mercado.
-Sistema Operativo Android 10.
-Split Screen. Divide tu pantalla en 2.
-Admite cámara 360.
-Resolución 1024×600 (Excelente imagen, nítida, FULL brillo!!!).
-Incorpora controlador HiFi (alta fidelidad) mejorando notablemente el sonido. Amplificador ST7850 MOS bile duct 50Wx4
-Conexión Wifi.
-Incluye Bisel para radio de 10.1″, encaje perfecto, sin huecos ni perforaciones.
-Incluye Arnés de cables para conexionado plug & play sin corte de cables.
-Incluye Canbus para configuración de comandos al volante.
-Incluye Cable adaptador para antena.
-Incluye cable adaptador para GPS.
-Incluye Cable adaptador para USB original.
-Incluye Cable extra para USB.
-Incluye Cable para conexionado de cámara de reversa .
-Incluye Cables AUX para conexionado de pantallas , bazooka u otro
-Apps: Google Maps, Chrome, Waze, Spotify, Youtube, Netflix, entre muchas más. Puedes instalar las aplicaciones que desees desde Play Store.
-Bluetooth 5.0 y micrófono incorporado para manos libres.
-Mirror Link, espejo teléfono-radio android.
-Radio FM antena.
-Puedes cambiar el fondo de pantalla si así lo deseas y poner el que se ajuste más a tu estilo. Ordena los íconos como tu desees.
-Pantalla 10.1″ pulgadas touch de vidrio templado.
-Puedes instalarle cámara de retroceso  y/o dashcam (cámara frontal)",240000.00,3,RADIO ANDROID,NISSAN
8,RADIO ANDROID NISSAN QASHQAI 2013-2021 2GB+16GB 4 NÚCLEOS 10.1″,"-2g de ram+16g de almacenamiento.
-Procesador de 4 núcleos 2.0GHz
-Resolución 1024×600 (Excelente imagen, nítida, FULL brillo!!!).
-Conexión Wifi.
-Incluye Bisel para radio de 10.1″, encaje perfecto, sin huecos ni perforaciones.
-Incluye Arnés de cables para conexionado plug & play sin corte de cables.
-Incluye Canbus para configuración de comandos al volante.
-Incluye Cable adaptador para antena.
-Incluye cable adaptador para GPS.
-Incluye Cable adaptador para USB original.
-Incluye Cable extra para USB.
-Incluye Cable para conexionado de cámara de reversa .
-Incluye Cables AUX para conexionado de pantallas , bazooka u otro
-Apps: Google Maps, Chrome, Waze, Spotify, Youtube, Netflix, entre muchas más. Puedes instalar las aplicaciones que desees desde Play Store.
-Bluetooth 5.0 y micrófono incorporado para manos libres.
-Mirror Link, espejo teléfono-radio android.
-Radio FM antena.
-Puedes cambiar el fondo de pantalla si así lo deseas y poner el que se ajuste más a tu estilo.
-Pantalla 10.1″ pulgadas touch de vidrio templado.
-Puedes instalarle cámara de retroceso  y/o dashcam (cámara frontal)",210000.00,2,RADIO ANDROID,NISSAN
9,RADIO ANDROID NISSAN QASHQAI/J10 2006-2013 2GB+32GB 8 NÚCLEOS 9″,"Especificaciones:
-2g de ram+32g de almacenamiento.
-Procesador de 8 núcleos (4+4 2.0GHz) mucho más potente, mucho más rápido que el común de las radios del mercado.
-Sistema Operativo Android 10.
-Split Screen. Divide tu pantalla en 2.
-Admite cámara 360.
-Resolución 1024×600 (Excelente imagen, nítida, FULL brillo!!!).
-Incorpora controlador HiFi (alta fidelidad) mejorando notablemente el sonido. Amplificador ST7850 MOS bile duct 50Wx4
-Conexión Wifi.
-Incluye Bisel para radio de 9″, encaje perfecto, sin huecos ni perforaciones.
-Incluye Arnés de cables para conexionado plug & play sin corte de cables.
-Incluye Canbus para configuración de comandos al volante.
-Incluye Cable adaptador para antena.
-Incluye cable adaptador para GPS.
-Incluye Cable adaptador para USB original.
-Incluye Cable extra para USB.
-Incluye Cable para conexionado de cámara de reversa .
-Incluye Cables AUX para conexionado de pantallas , bazooka u otro
-Apps: Google Maps, Chrome, Waze, Spotify, Youtube, Netflix, entre muchas más. Puedes instalar las aplicaciones que desees desde Play Store.
-Bluetooth 5.0 y micrófono incorporado para manos libres.
-Mirror Link, espejo teléfono-radio android.
-Radio FM antena.
-Puedes cambiar el fondo de pantalla si así lo deseas y poner el que se ajuste más a tu estilo. Ordena los íconos como tu desees.
-Pantalla 9″ pulgadas touch de vidrio templado.
-Puedes instalarle cámara de retroceso  y/o dashcam (cámara frontal)",240000.00,7,RADIO ANDROID,NISSAN
10,RADIO ANDROID NISSAN QASHQAI/J10 2006-2013 2GB+16GB 4 NÚCLEOS 9″,"Especificaciones:
-2g de ram+16g de almacenamiento.
-Procesador de 4 núcleos 2.0GHz
-Resolución 1024×600 (Excelente imagen, nítida, FULL brillo!!!).
-Conexión Wifi.
-Incluye Bisel para radio de 9″, encaje perfecto, sin huecos ni perforaciones.
-Incluye Arnés de cables para conexionado plug & play sin corte de cables.
-Incluye Canbus para configuración de comandos al volante.
-Incluye Cable adaptador para antena.
-Incluye cable adaptador para GPS.
-Incluye Cable adaptador para USB original.
-Incluye Cable extra para USB.
-Incluye Cable para conexionado de cámara de reversa .
-Incluye Cables AUX para conexionado de pantallas , bazooka u otro
-Apps: Google Maps, Chrome, Waze, Spotify, Youtube, Netflix, entre muchas más. Puedes instalar las aplicaciones que desees desde Play Store.
-Bluetooth 5.0 y micrófono incorporado para manos libres.
-Mirror Link, espejo teléfono-radio android.
-Radio FM antena.
-Puedes cambiar el fondo de pantalla si así lo deseas y poner el que se ajuste más a tu estilo.
-Pantalla 9″ pulgadas touch de vidrio templado.
-Puedes instalarle cámara de retroceso  y/o dashcam (cámara frontal)",210000.00,2,RADIO ANDROID,NISSAN
11,Radio Android Nissan Xtrail 2013-2020 2GB+32GB 8 núcleos 10.1″,"Especificaciones:
-2g de ram+32g de almacenamiento.
-Procesador de 8 núcleos (4+4 2.0GHz) mucho más potente, mucho más rápido que el común de las radios del mercado.
-Sistema Operativo Android 10.
-Split Screen. Divide tu pantalla en 2.
-Admite cámara 360.
-Resolución 1024×600 (Excelente imagen, nítida, FULL brillo!!!).
-Incorpora controlador HiFi (alta fidelidad) mejorando notablemente el sonido. Amplificador ST7850 MOS bile duct 50Wx4
-Conexión Wifi.
-Incluye Bisel para radio de 10.1″, encaje perfecto, sin huecos ni perforaciones.
-Incluye Arnés de cables para conexionado plug & play sin corte de cables.
-Incluye Canbus para configuración de comandos al volante.
-Incluye Cable adaptador para antena.
-Incluye cable adaptador para GPS.
-Incluye Cable adaptador para USB original.
-Incluye Cable extra para USB.
-Incluye Cable para conexionado de cámara de reversa .
-Incluye Cables AUX para conexionado de pantallas , bazooka u otro
-Apps: Google Maps, Chrome, Waze, Spotify, Youtube, Netflix, entre muchas más. Puedes instalar las aplicaciones que desees desde Play Store.
-Bluetooth 5.0 y micrófono incorporado para manos libres.
-Mirror Link, espejo teléfono-radio android.
-Radio FM antena.
-Puedes cambiar el fondo de pantalla si así lo deseas y poner el que se ajuste más a tu estilo. Ordena los íconos como tu desees.
-Pantalla 10.1″ pulgadas touch de vidrio templado.
-Puedes instalarle cámara de retroceso  y/o dashcam (cámara frontal)",240000.00,1,RADIO ANDROID,NISSAN
